dept_name;state;notFound;notMatched
Fort Smith Police Department;AR;False;False
Jones County Sheriff's Office;NC;False;False
Goliad County Sheriff's Department;TX;False;False
Richmond Police Department;VA;False;False
Black Hawk Police Department;CO;False;False
Muscatine Police Department;IA;False;False
Owego Police Department;NY;False;False
Tazewell County Sheriff's Office;IL;False;False
Elko County Sheriff's Office;NV;False;False
Rensselaer County Sheriff's Office;NY;False;False
Lincoln County Sheriff's Office;KY;False;False
Ellsworth Police Department;KS;False;False
Dewitt County Sheriff's Office;TX;False;False
Clinton County Sheriff's Department;KY;False;False
Junction City Police Department;KS;False;False
Washington County Sheriff's Office;TX;False;False
Pittsburgh Police Department;PA;False;False
Brunswick County Constable's Office;VA;False;False
Bryan Police Department;TX;False;False
Orange County Sheriff's Office;FL;False;False
Bastrop Police Department;TX;False;False
Labette County Sheriff's Office;KS;False;False
Grantsville Police Department;UT;False;False
Lucas County Sheriff's Office;IA;False;False
Kentucky Central Railroad Police Department;RR;False;False
Colusa County Sheriff's Department;CA;False;False
Los Angeles Police Department;CA;False;False
Abilene Police Department;KS;False;False
Baxter Springs Police Department;KS;False;False
Waco Police Department;TX;False;False
Dallas County Sheriff's Department;TX;False;False
Texas State Police;TX;False;False
United States Department of the Treasury - Office of Internal Revenue;US;False;False
Jackson County Sheriff's Department;TX;False;False
Chelsea Police Department;MA;False;False
Grayson County Constable's Office - Precinct 1;TX;False;False
Ellis County Sheriff's Office;KS;False;False
Greene County Sheriff's Department;MO;False;False
Sedgwick County Sheriff's Office;KS;False;False
Concord Township Police Department;MO;False;False
Nevada State Prison;NV;False;False
Portsmouth Police Department;VA;False;False
Nacogdoches County Constable's Office;TX;False;False
Union City Police Department;TN;False;False
Independence County Sheriff's Department;AR;False;False
Metropolitan Police Department;DC;False;False
Las Animas County Sheriff's Office;CO;False;False
Atlanta Police Department;GA;False;False
Freestone County Sheriff's Office;TX;False;False
Anaheim Police Department;CA;False;False
Caddo Parish Sheriff's Office;LA;False;False
Holmes County Sheriff's Office;FL;False;False
Grayson County Constable's Office - Precinct 6;TX;False;False
Shreveport Police Department;LA;False;False
Galveston Police Department;TX;False;False
Aroostook County Sheriff's Department;ME;False;False
McLennan County Sheriff's Department;TX;False;False
Ellsworth County Sheriff's Department;KS;False;False
Callaway County Sheriff's Department;MO;False;False
Bent County Sheriff's Office;CO;False;False
Provo Police Department;UT;False;False
Lauderdale County Sheriff's Office;TN;False;False
Kern County Sheriff's Department;CA;False;False
McMinnville Police Department;TN;False;False
Hays County Sheriff's Department;TX;False;False
New York Municipal Police Department;NY;False;False
Denison Police Department;TX;False;False
St. Clair County Sheriff's Department;MO;False;False
Rome Police Department;GA;False;False
Greene County Sheriff's Office;NY;False;False
Indiana Department of Correction;IN;False;False
Bosque County Sheriff's Office;TX;False;False
Osage Township Police Department;MO;False;False
Versailles Police Department;MO;False;False
Hillsborough County Sheriff's Office;FL;False;False
Hackettstown Police Department;NJ;False;False
Oswego Police Department;KS;False;False
Hunt County Sheriff's Office;TX;False;False
Burlingame Police Department;KS;False;False
Winona Police Department;MN;False;False
Paris Police Department;TX;False;False
Anderson County Sheriff's Department;TX;False;False
Columbus Police Department;GA;False;False
Scott County Sheriff's Office;MO;False;False
Bedford Police Department;IN;False;False
Robertson County Sheriff's Department;TX;False;False
Austin Police Department;TX;False;False
New York City Department of Correction;NY;False;False
Houston County Constable's Office - Precinct 3;TX;False;False
Wilkes-Barre Police Department;PA;False;False
Nashville City Police Department;TN;False;False
Plymouth Police Department;MA;False;False
