dept_name,state,lat,lng
DeWitt Police Department,AR,34.2928774,-91.3378987
Brooklyn Police Department,IA,41.7315717,-92.4453638
Marion County Sheriff's Department,IN,39.83618999999999,-86.17517590000001
Broadmoor Police Department,CA,37.6926678,-122.4747878
Craig Police Department,AK,55.4763889,-133.1483333
Payne County Sheriff's Office,OK,36.115025,-97.06090999999999
North Carolina Division of Motor Vehicles Enforcement Section,NC,36.5288031,-80.6295701
Amherst Police Department,NY,42.97900670000001,-78.792272
Bethel Police Department,AK,60.7922222,-161.7558333
Perry Police Department,SC,33.6268163,-81.31149180000001
Nash County Sheriff's Office,NC,35.976249,-77.9679298
Sparta Police Department,IL,38.1231053,-89.70176579999999
Douglas County Sheriff's Department,MN,45.9279387,-95.4218815
Newton Police Department,IA,41.7033177,-93.05735330000002
Pennsylvania State Capitol Police,PA,40.2650397,-76.8823651
Spencer Police Department,OK,35.5103197,-97.36786239999999
Hoffman Estates Police Department,IL,42.045939,-88.09027119999999
Okaloosa County Airports Police Department,FL,30.4882615,-86.5306159
Pineville Police Department,MO,36.5945173,-94.38410309999999
Haskell County Sheriff's Office,KS,37.5588285,-100.8903099
Suffolk County Sheriff's Department,MA,42.3522866,-71.0504229
Delaware County Sheriff's Office,OK,36.4263135,-94.81059549999999
Forest Park Police Department,OH,39.2903353,-84.50411079999999
Lewis County Sheriff's Office,ID,46.2664791,-116.4054092
Woodstock Police Department,VA,38.8817784,-78.50584289999999
Escondido Police Department,CA,33.1356723,-117.0938069
Bexar County Constable's Office - Precinct 3,TX,29.52045,-98.455529
Tipton County Sheriff's Office,IN,40.2825661,-86.05296039999999
Jackson County Sheriff's Department,FL,30.7150882,-85.1894045
Portland Police Bureau,OR,45.5150447,-122.676293
Rome Police Department,GA,34.257038,-85.1646726
Wood County Sheriff's Department,TX,32.8296216,-95.35208759999999
Iowa Department of Corrections,IA,42.4958549,-96.4100235
Knox County Sheriff's Office,KY,36.9260578,-83.8897057
Sprague Police Department,WA,47.3001584,-117.9755065
Rutherford County Constable's Office,NC,35.4258737,-81.909826
Rulo Police Department,NE,40.0524616,-95.42927639999999
Henderson Police Department,NC,36.3295905,-78.3991638
Ringwood Police Department,OK,36.3794782,-98.24534729999999
Lancaster Police Department,KY,37.6195246,-84.5779957
Burlington City Police Department,NJ,40.0744367,-74.8560866
Laurens Police Department,SC,34.4982233,-82.0162622
Jerome Police Department,AZ,34.7489107,-112.1137716
Danville Police Department,IN,39.7606013,-86.5263879
Wyoming Police Department,OH,39.2311691,-84.4657758
Jefferson County Sheriff's Department,TX,29.8165398,-94.15137639999999
