dept_name,state,lat,lng
Marks Creek Township Constable's Office,NC,35.8093444,-78.4069732
Walton County Sheriff's Office,FL,30.37226519999999,-86.1790175
Morristown Police Department,NJ,40.790844,-74.474515
Bath County Sheriff's Office,VA,38.046026,-79.78921179999999
Bristol Police Department,CT,41.674105,-72.9469258
Kiowa County Sheriff's Office,CO,38.4796659,-102.7800284
Cleveland County Sheriff's Office,NC,35.2908124,-81.53595899999999
West Elizabeth Borough Police Department,PA,40.2715941,-79.8230086
Woodville Marshal's Office,OK,33.96982150000001,-96.6536086
Stanford Police Department,KY,37.52959990000001,-84.65947930000002
Ware County Police Department,GA,31.2155517,-82.35557709999999
Wyandotte County Sheriff's Office,KS,39.1131151,-94.6274263
Royal Oak City Police Department,MI,42.4884135,-83.1424938
York County Sheriff's Office,SC,34.9824089,-81.2002241
Wilson County District Four Constable's Office,TN,36.1674144,-86.3058803
Brentwood Borough Police Department,PA,40.3732112,-79.97586869999999
Medford Police Department,OR,42.32222549999999,-122.8742863
Titus County Constable's Office - Precinct 8,TX,33.1868871,-94.9808085
Torrance County Sheriff's Office,NM,34.7591431,-106.061436
South St. Paul Police Department,MN,44.8915166,-93.0374934
Harrison Police Department,AR,36.2291238,-93.1101953
Mercer County Sheriff's Department,WV,37.365518,-81.102991
Raleigh County Sheriff's Department,WV,37.780921,-81.1666971
El Segundo Police Department,CA,33.9200131,-118.4155463
Summit Police Department,IL,41.78590130000001,-87.81147659999999
Pennsylvania State Constable - Lancaster County,PA,40.0466571,-76.17837390000001
St. John the Baptist Parish Sheriff's Office,LA,30.0720685,-90.4996422
Athens Police Department,GA,33.9423375,-83.3283095
Roseville Police Department,MI,42.5159436,-82.92544199999999
Valley Park Police Department,MO,38.5519949,-90.4872113
Alleghany County Sheriff's Office,NC,36.506876,-81.120452
Park County Sheriff's Office,WY,44.5325561,-109.0609594
Twin Falls Police Department,ID,42.5545647,-114.4651028
Oyster Bay Cove Police Department,NY,40.84691300000001,-73.50457949999999
Upland Police Department,CA,34.110888,-117.6777814
Greenville Borough Police Department,PA,41.4040308,-80.3911911
Lester Police Department,WV,37.7364232,-81.29982129999999
Richmond Police Department,CA,37.9177771,-122.3498643
Sierra County Sheriff's Department,NM,33.1214932,-107.2806144
Marion Police Department,IN,40.5583004,-85.6567229
Charleroi Borough Police Department,PA,40.1366476,-79.89638769999999
Lancaster County Magistrate's Office,SC,34.7278037,-80.7523367
Bastrop Police Department,LA,32.7767185,-91.9125802
Georgetown Police Department,TX,30.6387221,-97.67960869999999
Gloucester City Police Department,NJ,39.8979681,-75.1229274
Munster Police Department,IN,41.5622888,-87.5038934
Texas County Sheriff's Office,OK,36.668689,-101.479763
Georgetown County Sheriff's Office,SC,33.3770749,-79.2872072
Barton County Sheriff's Office,KS,38.3661982,-98.76340979999999
Johnson County Sheriff's Office,KS,38.883045,-94.8199336
Saline County Sheriff's Office,KS,38.8448855,-97.6151857
Keystone Police Department,WV,37.4142994,-81.45134639999999
Rockdale Police Department,TX,30.6555227,-97.0024062
North Dakota Highway Patrol,ND,46.8206977,-100.7827515
Escambia County District Four Constable's Office,FL,30.4138554,-87.2461874
Valley View Police Department,OH,41.3786169,-81.6101363
Richmond County Sheriff's Office,GA,33.46490000000001,-81.9602645
Morgan City Police Department,LA,29.6945418,-91.18807000000001
Cache County Sheriff's Office,UT,41.73718,-111.865652
Saint Albans Police Department,WV,38.3868796,-81.8381041
Leavenworth County Sheriff's Office,KS,39.3141127,-94.91067389999999
Northumberland Police Department,NH,44.5996,-71.51028459999999
Middlesex County Sheriff's Office,MA,42.6387544,-71.31415989999999
New Ellenton Police Department,SC,33.4210874,-81.6850479
Duval County Constable's Office - Precinct 1,TX,27.7648601,-98.2458599
American Township Police Department,OH,40.78315,-84.188749
Andrews Police Department,SC,33.452557,-79.5606181
Macon County Sheriff's Department,IL,39.8392255,-88.95324629999999
Sansom Park Police Department,TX,32.8114098,-97.40632629999999
Miller Police Department,SD,44.51685759999999,-98.9897527
Baxter State Park,ME,46.0612509,-68.93677149999999
Greenville / West Salem Police Department,PA,41.4040308,-80.3911911
"South Dakota Department of Game, Fish and Parks",SD,44.36528939999999,-100.3458005
Union Parish Sheriff's Department,LA,32.7657729,-92.3891579
North Kingstown Police Department,RI,41.576165,-71.460388
Del City Police Department,OK,35.4359841,-97.4354334
San Saba County Constable's Office - Precinct 1,TX,31.742292,-99.3232743
Wilcox County Sheriff's Office,GA,31.9926484,-83.3057589
New York City Housing Authority Police Department,NY,40.82067,-73.91600729999999
Somerset County Sheriff's Department,ME,44.7922734,-69.7262977
Craig Police Department,AK,55.47536179999999,-133.1532184
Dickinson Police Department,ND,46.9082116,-102.8122865
Roosevelt Park Police Department,MI,43.2004099,-86.2657541
Camden County Sheriff's Office,NC,36.329707,-76.1747829
St. Francis Police Department,MN,45.3814326,-93.3761105
Plainfield Police Department,NJ,40.6187352,-74.4185036
Broadview Heights Police Department,OH,41.3050709,-81.67926489999999
Fremont County Sheriff's Office,CO,38.4462479,-105.1823832
Washington County Sheriff's Office,OR,45.493353,-122.825501
Sugar Creek Police Department,MO,39.1188781,-94.44542430000001
Nez Perce County Sheriff's Department,ID,46.432125,-117.017385
Rock Hill Police Department,SC,34.9253284,-81.0296594
University of Nevada Reno Police Department,NV,39.54220189999999,-119.816511
Dellwood Police Department,MO,38.7498046,-90.2817549
Tracy City Police Department,TN,35.261508,-85.73742399999999
Guadalupe Police Department,CA,34.9694849,-120.5688772
East Moline Police Department,IL,41.515507,-90.44034049999999
Gas City Police Department,IN,40.4881907,-85.61261119999999
York City Police Department,PA,39.9603167,-76.7285136
Ipswich Police Department,MA,42.6781493,-70.8362087
Benton Township Police Department,MI,42.1233621,-86.4167616
Seaford Police Department,DE,38.6533926,-75.6142469
New York State Department of Conservation - Division of Lands and Forests,NY,42.6523731,-73.7486246
East Pennsboro Township Police Department,PA,40.2872865,-76.93236619999999
St. John Police Department,IN,41.4493133,-87.46819839999999
Norway Police Department,MI,45.7888511,-87.907477
Ocean View Police Department,DE,38.5379616,-75.1060732
New Mexico District Attorney's Office,NM,35.0909173,-106.6524976
Hopewell Township Police Department,PA,40.5924548,-80.2635344
Oswego Police Department,IL,41.6945786,-88.3261691
Crestwood Police Department,MO,38.558769,-90.3860555
Bristol Township Police Department,PA,40.1241235,-74.8675868
Steamboat Springs Police Department,CO,40.4859199,-106.8360443
French Lick Police Department,IN,38.5497249,-86.61850059999999
Parma Heights Police Department,OH,41.3935396,-81.7591757
New Castle County Police Department,DE,39.7095194,-75.5669746
Cedar Bluff Police Department,AL,34.2189415,-85.6085698
New York State Office of Court Administration,NY,40.7051719,-74.0122435
Mountain Brook Police Department,AL,33.50153050000001,-86.7559105
Panama City Police Department,FL,30.1755358,-85.64116729999999
Spencer County Sheriff's Department,IN,37.8838751,-87.046438
North Las Vegas Police Department,NV,36.19530210000001,-115.1246649
Forest Acres Police Department,SC,34.0195574,-80.9667803
Riviera Beach Police Department,FL,26.7845357,-80.0653229
Sargent County Sheriff's Department,ND,46.1068302,-97.6363721
Port of New Orleans Harbor Police Department,LA,29.9174388,-90.0636442
Forks Township Police Department,PA,40.714509,-75.22228849999999
Bell Acres Borough Police Department,PA,40.5897965,-80.1692771
Mount Holly Police Department,NJ,39.993068,-74.78955049999999
Phenix City Police Department,AL,32.4681383,-85.00124009999999
New York City Police Department - Auxiliary Police Section,NY,40.7137004,-73.8281571
Putnam County Sheriff's Office,FL,29.66837809999999,-81.6618082
Ray City Police Department,GA,31.0752383,-83.1974905
Viola Police Department,WI,43.5084446,-90.6688366
New York State Division of Parole,NY,40.7562944,-73.99207899999999
Zapata County Constable's Office - Precinct 1,TX,26.9126993,-99.272724
Itasca County Sheriff's Department,MN,47.2365314,-93.5261582
Lancaster County Sheriff's Office,SC,34.7245316,-80.7397431
Boyle County Detention Center,KY,37.6231943,-84.7939528
Keewatin Police Department,MN,47.39861920000001,-93.0771994
Port Isabel Police Department,TX,26.07413,-97.2098024
East Grand Forks Police Department,MN,47.9311295,-97.0225523
Harker Heights Police Department,TX,31.0817823,-97.6569566
Des Peres Police Department,MO,38.6057645,-90.4420316
Essex County Police Department,NJ,40.7533079,-74.1779806
Will Rogers Airport Police Department,OK,35.3953476,-97.5966361
Cedar Park Police Department,TX,30.5202532,-97.8245769
Webb County Sheriff's Department,TX,27.5329464,-99.4251692
North Haven Police Department,CT,41.3875561,-72.86234809999999
Santa Fe County Sheriff's Department,NM,35.564338,-106.048184
Signal Hill Police Department,CA,33.80686040000001,-118.1724496
West Carroll Parish Sheriff's Office,LA,32.8609703,-91.3875233
Hedwig Village Police Department,TX,29.7826824,-95.5104302
Terrell County Sheriff's Office,GA,31.7695043,-84.4481972
Heidelberg Police Department,MS,31.8840807,-88.9764261
Alexandria Sheriff's Office,VA,38.7981291,-77.0646527
West Fork Police Department,AR,35.9244189,-94.18909029999999
Braxton County Sheriff's Department,WV,38.664553,-80.70775499999999
La Grande Police Department,OR,45.3216072,-118.0947281
Salamanca Police Department,NY,42.157576,-78.70843099999999
West Baton Rouge Parish Sheriff's Office,LA,30.4598949,-91.2092304
Elk City Police Department,OK,35.4112195,-99.3999302
Nether Providence Township Police Department,PA,39.9004091,-75.3685095
Lee's Summit Police Department,MO,38.9314466,-94.3810963
University of Chicago Police Department,IL,41.7846298,-87.60484699999999
Licking County Sheriff's Department,OH,40.058659,-82.3950952
Los Angeles County Department of Parks and Recreation Police,CA,34.0650027,-118.2911841
Del Norte County Sheriff's Department,CA,41.75312,-124.200748
Morehouse Parish Sheriff's Department,LA,32.7758517,-91.91293999999999
Berlin Police Department,CT,41.6264723,-72.77523819999999
Blair Township Police Department,PA,40.4216459,-78.40312999999999
Fort Gay Police Department,WV,38.1184618,-82.5992918
Bergen County Police Department,NJ,40.9573712,-74.0580926
Hancock County Sheriff's Office,IN,39.7847491,-85.7673113
Macedonia Police Department,OH,41.3117337,-81.5039762
Melbourne Police Department,FL,28.1171441,-80.6389322
Valencia County Sheriff's Department,NM,34.801829,-106.7347371
Ochiltree County Sheriff's Department,TX,36.3945429,-100.8016607
Port of Seattle Police Department,WA,47.6138436,-122.3543352
Washington Township (Gloucester County) Police Department,NJ,39.7451909,-75.0815101
Del Rio Police Department,TX,29.3833439,-100.9029812
Myrtle Point Police Department,OR,43.0647373,-124.1426158
Seal Beach Police Department,CA,33.7527138,-118.0877418
Panola County Sheriff's Department,MS,34.3610945,-89.8895036
Dougherty County Sheriff's Office,GA,31.5793005,-84.15242219999999
Cornwall Police Department,NY,41.43889799999999,-74.0284538
Montgomery County Sheriff's Office,AL,32.3759601,-86.3067518
Lemoyne Borough Police Department,PA,40.2413265,-76.8938038
Orleans County Sheriff's Department,NY,43.23938,-78.222155
St. Stephen Police Department,SC,33.402666,-79.921176
Cobb County Sheriff's Office,GA,33.9523312,-84.54750899999999
University of Arizona Police Department,AZ,32.2345967,-110.9444555
Rio Arriba County Sheriff's Department,NM,36.0076978,-106.0918079
Locust Police Department,NC,35.2611362,-80.4314503
Blair County Prison,PA,40.4281527,-78.3915624
Marina Police Department,CA,36.6827067,-121.8029228
Carlton County Sheriff's Department,MN,46.6649006,-92.4237936
Orange Grove Police Department,TX,27.9577682,-97.94096669999999
Lower Township Police Department,NJ,39.0041285,-74.9111949
Los Angeles County Probation Department,CA,33.929984,-118.2999014
Grand Haven Department of Public Safety,MI,43.06237429999999,-86.2248084
Haskell County Sheriff's Office,KS,37.4795086,-100.8427657
Haddon Heights Police Department,NJ,39.8818004,-75.0598554
Fairfield County Sheriff's Office,OH,39.7139234,-82.59897629999999
Cass County Sheriff's Office,MO,38.6491772,-94.3683103
North Dakota Game and Fish Enforcement Division,ND,46.80624299999999,-100.732331
Watford City Police Department,ND,47.8031834,-103.2818313
North Dakota Youth Correctional Center,ND,46.8218629,-100.9132199
Grenada County Sheriff's Department,MS,33.785216,-89.8041188
Ingham County Sheriff's Office,MI,42.5906114,-84.4558072
Spanish Fork City Police Department,UT,40.1087391,-111.6680217
New Middletown Police Department,OH,40.9624934,-80.5585128
Frontier County Sheriff's Office,NE,40.6311988,-100.5150746
North Harris Montgomery Community College District Police Department,TX,30.1872936,-95.48802210000001
Sharpsburg Police Department,NC,35.8667429,-77.82953020000001
Tuxedo Park Village Police Department,NY,41.1954448,-74.1860579
McLean County Coroner's Office,IL,40.4772604,-88.9943339
King George County Sheriff's Office,VA,38.25366229999999,-77.16201699999999
New Jersey Department of Law and Public Safety - Juvenile Justice Commission,NJ,40.6972446,-74.8869215
Russell County Sheriff's Department,AL,32.4409872,-85.01973199999999
Pennsylvania State Constable - Clearfield County,PA,40.9519685,-78.5660852
Grove Hill Police Department,AL,31.7088073,-87.77460380000001
Cockrell Hill Police Department,TX,32.7352666,-96.88827339999999
Red Bud Police Department,IL,38.2115123,-89.9929664
Gordon Police Department,NE,42.80642539999999,-102.2046066
Southern Shores Police Department,NC,36.1009832,-75.7146381
Middletown Police Department,CT,41.5594479,-72.649047
Forrest City Police Department,AR,35.010423,-90.787285
Rich Square Police Department,NC,36.273313,-77.284267
Centreville Police Department,MD,39.0476522,-76.06194289999999
Jackson Township Police Department,NJ,40.1103082,-74.3580865
Vermilion County Sheriff's Department,IL,40.1218007,-87.62921449999999
Whitehall Police Department,OH,39.9683421,-82.8856173
White Settlement Police Department,TX,32.7666334,-97.472134
Prince George's County Sheriff's Office,MD,38.8150935,-76.7412406
Fair Lawn Police Department,NJ,40.93633620000001,-74.1322583
Federal Way Police Department,WA,47.3040683,-122.3264773
Clare County Sheriff's Department,MI,44.019663,-84.8040351
Bradford County Sheriff's Office,PA,41.7671323,-76.4425181
Bloomfield Township Police Department,MI,42.5780137,-83.2816617
Babylon Town Bay Constable,NY,40.686079,-73.32197099999999
Butler University Police Department,IN,39.8363289,-86.1686414
Boiling Spring Lakes Police Department,NC,34.031524,-78.06768629999999
Pine Lake Police Department,GA,33.7884836,-84.206863
San Jacinto County Constable's Office - Precinct 2,TX,30.5011431,-94.99504979999999
Portsmouth Sheriff's Office,VA,36.832925,-76.296362
West Yellowstone Police Department,MT,44.6583485,-111.1016145
Upper Saucon Township Police Department,PA,40.5349941,-75.4038841
Rocky Mount Police Department,NC,35.9396562,-77.79859359999999
Moscow Police Department,ID,46.7319316,-117.0004396
Longwood Police Department,FL,28.7014446,-81.3494807
Rio Rancho Police Department,NM,35.2662483,-106.6337002
Port of Corpus Christi Police Department,TX,27.8039563,-97.3932329
Pell City Police Department,AL,33.5874246,-86.2861515
Perth Amboy Police Department,NJ,40.51471799999999,-74.2763873
Boston Heights Police Department,OH,41.2551419,-81.5061922
Beauregard Parish Sheriff's Office,LA,30.84228779999999,-93.2843257
Southampton County Sheriff's Office,VA,36.7142226,-77.06763289999999
South Carolina Public Service Authority,SC,33.199811,-79.977701
Zwolle Police Department,LA,31.6307405,-93.6430381
North Carolina Division of Motor Vehicles License and Theft Bureau,NC,34.2592864,-77.8321782
Vinita Park Police Department,MO,38.6951425,-90.3391204
Uniontown Police Department,OH,40.9740101,-81.370891
